id,kode_provinsi,nama_provinsi,tipe_wilayah,nama_wilayah,kekerasan_fisik,kekerasan_psikis,kekerasan_seksual,eksploitasi,tppo,penelantaran,kekerasan_lainnya,total_kasus,kategori_risiko
1,SULBAR,SULAWESI BARAT,KABUPATEN,MAJENE,7,9,8,0,0,0,0,24,SEDANG
2,SULBAR,SULAWESI BARAT,KABUPATEN,POLEWALI MANDAR,3,5,14,0,0,0,1,23,SEDANG
3,SULBAR,SULAWESI BARAT,KABUPATEN,MAMASA,0,0,2,0,4,0,2,8,RENDAH
4,SULBAR,SULAWESI BARAT,KABUPATEN,MAMUJU,13,3,22,1,0,0,3,42,SEDANG
5,SULBAR,SULAWESI BARAT,KABUPATEN,PASANGKAYU,2,6,7,0,0,0,0,15,RENDAH
6,SULBAR,SULAWESI BARAT,KABUPATEN,MAMUJU TENGAH,1,5,8,0,0,0,1,15,RENDAH
7,SULSEL,SULAWESI SELATAN,KABUPATEN,KEPULAUAN SELAYAR,0,1,2,0,0,0,0,3,RENDAH
8,SULSEL,SULAWESI SELATAN,KABUPATEN,BULUKUMBA,9,10,4,0,0,1,0,24,SEDANG
9,SULSEL,SULAWESI SELATAN,KABUPATEN,BANTAENG,5,4,3,0,0,0,6,18,RENDAH
10,SULSEL,SULAWESI SELATAN,KABUPATEN,JENEPONTO,13,34,17,3,0,1,5,73,TINGGI
11,SULSEL,SULAWESI SELATAN,KABUPATEN,TAKALAR,32,12,11,0,0,0,3,58,TINGGI
12,SULSEL,SULAWESI SELATAN,KABUPATEN,GOWA,23,23,32,1,0,2,5,86,TINGGI
13,SULSEL,SULAWESI SELATAN,KABUPATEN,SINJAI,7,9,10,0,0,0,0,26,SEDANG
14,SULSEL,SULAWESI SELATAN,KABUPATEN,MAROS,5,4,12,1,0,7,7,36,SEDANG
15,SULSEL,SULAWESI SELATAN,KABUPATEN,PANGKAJENE DAN KEPULAUAN,16,5,13,2,1,3,10,50,TINGGI
16,SULSEL,SULAWESI SELATAN,KABUPATEN,BARRU,4,0,11,0,1,2,4,22,SEDANG
17,SULSEL,SULAWESI SELATAN,KABUPATEN,BONE,8,10,15,0,0,1,0,34,SEDANG
18,SULSEL,SULAWESI SELATAN,KABUPATEN,SOPPENG,13,7,16,0,0,3,3,42,SEDANG
19,SULSEL,SULAWESI SELATAN,KABUPATEN,WAJO,1,1,2,0,0,0,0,4,RENDAH
20,SULSEL,SULAWESI SELATAN,KABUPATEN,SIDENRENG RAPPANG,0,0,1,0,0,0,0,1,RENDAH
21,SULSEL,SULAWESI SELATAN,KABUPATEN,PINRANG,9,0,20,0,2,0,4,35,SEDANG
22,SULSEL,SULAWESI SELATAN,KABUPATEN,ENREKANG,6,5,11,1,0,0,1,24,SEDANG
23,SULSEL,SULAWESI SELATAN,KABUPATEN,LUWU,1,0,18,0,0,1,1,21,SEDANG
24,SULSEL,SULAWESI SELATAN,KABUPATEN,TANA TORAJA,5,3,18,0,0,0,2,28,SEDANG
25,SULSEL,SULAWESI SELATAN,KABUPATEN,LUWU UTARA,13,1,18,0,0,3,0,35,SEDANG
26,SULSEL,SULAWESI SELATAN,KABUPATEN,LUWU TIMUR,11,7,18,0,0,8,0,44,SEDANG
27,SULSEL,SULAWESI SELATAN,KABUPATEN,TORAJA UTARA,4,0,21,0,0,1,0,26,SEDANG
28,SULSEL,SULAWESI SELATAN,KOTA,MAKASSAR,158,158,130,3,12,44,41,546,TINGGI
29,SULSEL,SULAWESI SELATAN,KOTA,PAREPARE,12,5,22,0,3,0,3,45,SEDANG
30,SULSEL,SULAWESI SELATAN,KOTA,PALOPO,3,4,18,0,0,3,34,62,TINGGI
31,SULTENG,SULAWESI TENGAH,KABUPATEN,BANGGAI KEPULAUAN,2,3,11,2,0,2,0,20,SEDANG
32,SULTENG,SULAWESI TENGAH,KABUPATEN,BANGGAI,3,1,10,0,0,4,0,18,RENDAH
33,SULTENG,SULAWESI TENGAH,KABUPATEN,MOROWALI,2,5,21,1,1,0,2,32,SEDANG
34,SULTENG,SULAWESI TENGAH,KABUPATEN,POSO,10,3,26,1,0,0,3,43,SEDANG
35,SULTENG,SULAWESI TENGAH,KABUPATEN,DONGGALA,21,33,25,0,0,0,0,79,TINGGI
36,SULTENG,SULAWESI TENGAH,KABUPATEN,TOLI-TOLI,8,1,21,0,0,2,13,45,SEDANG
37,SULTENG,SULAWESI TENGAH,KABUPATEN,BUOL,30,45,24,1,0,1,1,102,TINGGI
38,SULTENG,SULAWESI TENGAH,KABUPATEN,PARIGI MOUTONG,5,0,32,0,0,3,4,44,SEDANG
39,SULTENG,SULAWESI TENGAH,KABUPATEN,TOJO UNA-UNA,16,22,18,0,1,1,0,58,TINGGI
40,SULTENG,SULAWESI TENGAH,KABUPATEN,SIGI,23,23,26,3,0,3,1,79,TINGGI
41,SULTENG,SULAWESI TENGAH,KABUPATEN,BANGGAI LAUT,3,0,9,1,0,0,1,14,RENDAH
42,SULTENG,SULAWESI TENGAH,KABUPATEN,MOROWALI UTARA,1,5,14,2,0,1,5,28,SEDANG
43,SULTENG,SULAWESI TENGAH,KOTA,PALU,12,12,43,0,2,2,2,73,TINGGI
44,SULTRA,SULAWESI TENGGARA,KABUPATEN,BUTON,8,0,11,0,0,1,1,21,SEDANG
45,SULTRA,SULAWESI TENGGARA,KABUPATEN,MUNA,4,2,3,0,0,2,1,12,RENDAH
46,SULTRA,SULAWESI TENGGARA,KABUPATEN,KONAWE,9,0,9,0,0,0,0,18,RENDAH
47,SULTRA,SULAWESI TENGGARA,KABUPATEN,KOLAKA,6,3,8,0,0,1,4,22,SEDANG
48,SULTRA,SULAWESI TENGGARA,KABUPATEN,KONAWE SELATAN,8,7,25,0,0,12,2,54,TINGGI
49,SULTRA,SULAWESI TENGGARA,KABUPATEN,BOMBANA,1,0,13,0,0,0,0,14,RENDAH
50,SULTRA,SULAWESI TENGGARA,KABUPATEN,WAKATOBI,2,2,12,0,0,1,0,17,RENDAH
51,SULTRA,SULAWESI TENGGARA,KABUPATEN,KOLAKA UTARA,6,1,14,0,0,0,0,21,SEDANG
52,SULTRA,SULAWESI TENGGARA,KABUPATEN,BUTON UTARA,11,1,11,1,0,0,0,24,SEDANG
53,SULTRA,SULAWESI TENGGARA,KABUPATEN,KONAWE UTARA,1,0,6,0,0,0,0,7,RENDAH
54,SULTRA,SULAWESI TENGGARA,KABUPATEN,KOLAKA TIMUR,1,0,2,0,0,0,0,3,RENDAH
55,SULTRA,SULAWESI TENGGARA,KABUPATEN,KONAWE KEPULAUAN,1,0,3,0,0,0,0,4,RENDAH
56,SULTRA,SULAWESI TENGGARA,KABUPATEN,MUNA BARAT,21,0,4,0,0,0,0,25,SEDANG
57,SULTRA,SULAWESI TENGGARA,KABUPATEN,BUTON TENGAH,5,5,13,0,0,0,0,23,SEDANG
58,SULTRA,SULAWESI TENGGARA,KABUPATEN,BUTON SELATAN,9,5,12,0,0,0,1,27,SEDANG
59,SULTRA,SULAWESI TENGGARA,KOTA,KENDARI,9,3,23,1,3,3,9,51,TINGGI
60,SULTRA,SULAWESI TENGGARA,KOTA,BAUBAU,10,0,21,0,0,4,2,37,SEDANG
61,SULUT,SULAWESI UTARA,KABUPATEN,BOLAANG MONGONDOW,14,1,39,0,0,2,8,64,TINGGI
62,SULUT,SULAWESI UTARA,KABUPATEN,MINAHASA,1,4,38,0,0,5,13,61,TINGGI
63,SULUT,SULAWESI UTARA,KABUPATEN,KEPULAUAN SANGIHE,7,10,23,0,0,1,1,42,SEDANG
64,SULUT,SULAWESI UTARA,KABUPATEN,KEPULAUAN TALAUD,0,0,7,0,1,0,0,8,RENDAH
65,SULUT,SULAWESI UTARA,KABUPATEN,MINAHASA SELATAN,4,0,17,0,2,4,3,30,SEDANG
66,SULUT,SULAWESI UTARA,KABUPATEN,MINAHASA UTARA,8,9,31,0,2,9,13,72,TINGGI
67,SULUT,SULAWESI UTARA,KABUPATEN,BOLAANG MONGONDOW UTARA,11,2,22,0,0,2,0,37,SEDANG
68,SULUT,SULAWESI UTARA,KABUPATEN,SIAU TAGULANDANG BIARO,5,13,30,0,0,2,0,50,TINGGI
69,SULUT,SULAWESI UTARA,KABUPATEN,MINAHASA TENGGARA,6,1,7,0,1,4,0,19,RENDAH
70,SULUT,SULAWESI UTARA,KABUPATEN,BOLAANG MONGONDOW SELATAN,3,0,17,2,1,0,2,25,SEDANG
71,SULUT,SULAWESI UTARA,KABUPATEN,BOLAANG MONGONDOW TIMUR,18,5,43,0,0,5,5,76,TINGGI
72,SULUT,SULAWESI UTARA,KOTA,MANADO,32,28,44,1,4,29,48,186,TINGGI
73,SULUT,SULAWESI UTARA,KOTA,BITUNG,15,8,29,0,6,23,26,107,TINGGI
74,SULUT,SULAWESI UTARA,KOTA,TOMOHON,1,1,7,0,0,2,6,17,RENDAH
75,SULUT,SULAWESI UTARA,KOTA,KOTAMOBAGU,27,3,28,0,0,5,14,77,TINGGI
